ID,Station Name,UTM_x,UTM_y,
1,ARCHERS POST,351624.283,70807.012,
2,ARDENCAPLE FARM,306006.828,9696.368,
3,CASTLE FOREST STN,311885.880,-44864.115,
4,CHOGORIA FOREST STN,343375.885,-26140.191,
5,CHUKA FOREST STN,344923.385,-34827.829,
6,COLCHECCIO,255409.160,68804.307,
7,DOL DOL DAO,295573.860,43649.450,
8,EL KARAMA,266605.408,21860.415,
9,EMBORI FARM,316071.142,7766.903,
10,EMBU MET STN,328296.589,-55517.866,
11,ENASOIT FARM,285614.156,26288.022,
12,GATHIURU FOREST STN,290496.978,-10743.906,
13,HOMBE FOREST STN,290267.591,-38458.220,
14,IRANGI FOREST STN,331263.832,-38102.665,
15,ISIOLO DAO,342591.808,39500.950,
16,JACOBSON FARM,282214.515,-4472.858,
17,JUNCTION (EWASO NAROK),260384.335,56118.819,
18,KABARU FOREST STN,294393.108,-30783.867,
19,KAGURU,313829.824,3225.582,
20,KALALU (NRM),295548.955,9332.622,
21,KAMWAKI FARM,295459.123,15008.102,
22,KARURI (NRM),313829.824,3225.582,
23,KINAMBA MOW,201815.868,46867.185,
24,KISIMA FARM,323860.751,12663.724,
25,LAMURIA MET STN,263186.069,-13994.060,
26,LARIAK FOREST STN,200582.168,36102.932,
27,LOLDAIGA FARM,290891.723,23732.173,
28,LOLDOTO FARM,279438.733,19340.939,
29,LOLMARIK FARM,307781.793,11497.237,
30,LORUKU FARM,286629.463,-1193.201,
31,MARALAL DC,244619.875,122312.890,
32,MARIENE CRS,349303.747,-934.868,
33,MATANYA (NRM),272189.060,-6557.398,
34,MERU FOREST STN,346982.919,6439.139,
35,MOGWONI RANCH,275763.207,25543.060,
36,MPALA FARM,266641.229,36040.935,
37,MUGIE RANCH,231969.411,78649.877,
38,MUKENYA FARM,257178.990,27211.960,
39,MUKOGODO (NRM),284539.729,42749.591,
40,MUNYAKA (NRM),283657.913,-19717.522,
41,MURINGATO FOREST STN,271022.590,-44344.936,
42,MUTARA ADC FARM,241943.260,12128.697,
43,MWEA IRRIGATION SCHEME,315496.863,-76827.970,
44,NANYUKI FOREST STN,293596.516,-7507.608,
45,NANYUKI KAF,280873.636,4724.147,
46,NARO MORU FG POST,289002.157,-19495.680,
47,NARO MORU FOREST STN,292602.178,-23403.605,
48,NARO MORU GATE STN,293829.019,-18976.110,
49,NARO MORU MET STN,301090.032,-18557.794,
50,NDARAGWA FOREST STN,224981.382,-6978.324,
51,NGENIA B,299952.311,9622.501,
52,NICOLSON FARM,280194.115,-9476.650,
53,NYERI MOW,271638.160,-45743.216,
54,OL ARABEL FOREST STN,194353.309,30686.705,
55,OL BOLOSAT FOREST STN,203375.330,-5723.982,
56,OL DONYO FARM,309910.742,10674.956,
57,OL JOGI FARM,270990.540,34572.776,
58,OL JORO OROK FTC,208445.534,-831.718,
59,OL MYSOR FARM,239206.310,46166.692,
60,OL PEJETA FARM,255941.571,7052.592,
61,ONTULILI FOREST STN,296237.952,2954.155,
62,RAGATI FOREST STN,295190.631,-41743.776,
63,RUMURUTI MOW,227029.399,29875.370,
64,SATIMA FARM,278424.828,-16068.172,
65,SEGERA PLANTATIONS,264858.568,19719.889,
66,SHAMATA,224926.775,-22497.912,
67,SOLIO RANCH,263894.931,-27370.785,
68,SOUTH MARMANET FOREST STN,207597.701,5215.428,
69,SUGUROI ESTATE,237764.433,-2818.956,
70,TELEKI (MT KENYA),310445.725,-18075.287,
71,THARUA FARM,264679.851,-12003.895,
72,TIMAU MARANIA,328143.946,9831.226,
73,TRENCH FARM,284461.442,4286.224,
,,,,
,,,,
,,,,